Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
Pizzardi S.r.l. (Meda),"0362 340973, 0362 71661, 0362 74983",Metalmeccanica e officine,Fabbricazione di apparecchiature e di macchine per lavanderie e stirerie (incluse parti e accessori),D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 28.94.3 Fabbricazione di apparecchiature e di macchine per lavanderie e stirerie (incluse parti e accessori) | fatturato 4.965.274 EUR (2024) | dipendenti da 20 a 49 | 3 km da Seveso | Via Bixio, 3/5 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/pizzardi-srl-02422990156 | telefono: PG «pizzardi» in meda → Pizzardi S.r.l. | Via Bixio Nino, 3/5 - 20821 Meda (MB)",
Arredokit Srl (Meda),"0362 347672, 0362 347680, 0362 600483","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di mobili per arredo domestico,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.1 Fabbricazione di mobili per arredo domestico | fatturato 4.931.357 EUR (2024) | dipendenti da 20 a 49 | 3 km da Seveso | Via Trieste, 78 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/arredokit-srl-02281360962 | telefono: PG «arredokit» in meda → Arredokit S.r.l. | Via Trieste, 78 - 20821 Meda (MB)",
Dameda Srl (Meda),0362 050456,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di poltrone e divani,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.3 Fabbricazione di poltrone e divani | fatturato 4.054.934 EUR (2023) | dipendenti da 20 a 49 | 3 km da Seveso | Via Como, 99 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/dameda-srl-10534030969 | telefono: PG «dameda» in meda → Dameda S.r.l. | Via Polo Marco, 37 - 20821 Meda (MB)",
Meridiani S.r.l. (Misinto),02 9669161,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di poltrone e divani,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.3 Fabbricazione di poltrone e divani | fatturato 24.932.472 EUR (2024) | dipendenti da 50 a 99 | 5 km da Seveso | Via Birago, 16 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/meridiani-srl-06926770964 | telefono: PG «meridiani» in misinto → Meridiani S.r.l. | Via Birago, 16 - 20826 Misinto (MB)",
Gruppo Millepiani S.p.a. (Misinto),"02 96690911, 02 96690901",Ingrosso e distribuzione,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca",D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Ingrosso e distribuzione | ATECO 46.69.99 Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca | fatturato 21.545.461 EUR (2024) | dipendenti da 50 a 99 | 5 km da Seveso | Via Della Longura, 21 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/gruppo-millepiani-spa-02731550121 | telefono: PG «gruppo millepiani» in misinto → Gruppo Millepiani S.p.a. | Via della Longura, 2 - 20826 Misinto (MB)",
Tragni Srl (Misinto),"02 96720409, 02 96720670",Ingrosso e distribuzione,"Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale",D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Ingrosso e distribuzione | ATECO 46.73.1 Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale | fatturato 11.111.128 EUR (2024) | dipendenti da 20 a 49 | 5 km da Seveso | Via Don Minzoni, 8 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/tragni-srl-01498170131 | telefono: PG «tragni» in misinto → Tragni S.r.l. | Via Don Minzoni Z.I. S. Andrea, 8 - 20826 Misinto (MB)",
Az Pneumatica Srl (Misinto),02 96691100,Metalmeccanica e officine,Fabbricazione di altri rubinetti e valvole,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 28.14 Fabbricazione di altri rubinetti e valvole | fatturato 10.540.151 EUR (2024) | dipendenti da 50 a 99 | 5 km da Seveso | Via Marco Biagi, 6 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/az-pneumatica-srl-06399310157 | telefono: PG «pneumatica» in misinto → Az Pneumatica | Via Marco Biagi, 6 - 20826 Misinto (MB)",
M.h. Material Handling S.p.a. (Misinto),"02 96720176, 02 96320374, 02 96328071, 02 96720215, 02 96729950, 02 96329236, 02 96729943",Metalmeccanica e officine,Fabbricazione di altre macchine e apparecchi di sollevamento e movimentazione,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 28.22.09 Fabbricazione di altre macchine e apparecchi di sollevamento e movimentazione | fatturato 9.317.541 EUR (2024) | dipendenti da 20 a 49 | 5 km da Seveso | Via G.di Vittorio, 3 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/mh-material-handling-spa-08386250156 | telefono: PG «material handling» in misinto → M.H. Material Handling S.p.a. | Via di Vittorio, 3 - 20826 Misinto (MB)",
Igeco Italia Srl (Misinto),"02 39304851, 02 39304853",Impiantistica e cantieri,"Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione) in edifici o in altre opere di costruzione",D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Impiantistica e cantieri | ATECO 43.22.01 Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione) in edifici o in altre opere di costruzione | fatturato 2.086.406 EUR (2024) | dipendenti da 10 a 15 | 5 km da Seveso | Via Kennedy, 33 - | GANCIO: Rapportini di cantiere dal telefono: ore, materiali e stato commessa senza ribattitura in ufficio | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/igeco-italia-srl-02725030965 | telefono: PG «igeco» in misinto → Igeco Italia | Via Kennedy, 33 - 20826 Misinto (MB)",
Mapro S.p.a. (Nova Milanese),0362 366356,Metalmeccanica e officine,Fabbricazione di altre pompe e compressori,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 28.13 Fabbricazione di altre pompe e compressori | fatturato 23.609.384 EUR (2024) | dipendenti da 50 a 99 | 8.5 km da Seveso | Via Enrico Fermi, 0003 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/mapro-spa-09240890153 | telefono: PG «mapro» in nova milanese → Mapro S.p.a. | Via Vesuvio, 2 - 20834 Nova Milanese (MB)",
S.c.a.r. Refrigerazione S.r.l. (Nova Milanese),"0362 49191, 0362 491902, 0362 491903, 0362 491901",Metalmeccanica e officine,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 28.25 Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione | fatturato 17.730.868 EUR (2024) | dipendenti da 20 a 49 | 8.5 km da Seveso | Via Per Cinisello, 24 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/scar-refrigerazione-srl-09956290150 | telefono: PG «refrigerazione» in nova milanese → S.C.A.R. Refrigerazione S.r.l. | Via per Cinisello, 24 - 20834 Nova Milanese (MB)",
Evergreen Srl (Nova Milanese),0362 43368,Pulizie e servizi strutturati,Imballaggio e confezionamento di generi non alimentari,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Pulizie e servizi strutturati | ATECO 82.92.2 Imballaggio e confezionamento di generi non alimentari | fatturato 2.685.361 EUR (2024) | dipendenti da 10 a 15 | 8.5 km da Seveso | Via Dalmazia, 5/D - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/evergreen-srl-11488480150 | telefono: PG «evergreen» in nova milanese → Evergreen S.r.l. | Via Dalmazia, 5/D - 20834 Nova Milanese (MB)",
Jensen Italia S.r.l. (Novedrate),"031 789117, 031 789119",Metalmeccanica e officine,Fabbricazione di apparecchiature e di macchine per lavanderie e stirerie (incluse parti e accessori),D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 28.94.3 Fabbricazione di apparecchiature e di macchine per lavanderie e stirerie (incluse parti e accessori) | fatturato 35.921.905 EUR (2024) | dipendenti da 20 a 49 | 10 km da Seveso | Strada Provinciale Novedratese, 46 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/jensen-italia-srl-03134860133 | telefono: PG «jensen» in novedrate → Jensen Italia S.r.l. | Via Provinciale Novedratese, 46 - 22060 Novedrate (CO)",
The Wizards Srl (Novedrate),"031 792105, 031 790427","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Produzione di prodotti di panetteria freschi,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 10.71.1 Produzione di prodotti di panetteria freschi | fatturato 11.871.072 EUR (2024) | dipendenti da 50 a 99 | 10 km da Seveso | Piazza Umberto I, 1 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/the-wizards-srl-01197360132 | telefono: PG «wizards» in novedrate → The Wizards S.r.l. | Via Novedratese, 2 - 22060 Novedrate (CO)",
Colzani Spa (Seregno),0362 284399,Autoriparazione e ricambi,Commercio all'ingrosso ed intermediazione di parti e accessori di autoveicoli,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Autoriparazione e ricambi | ATECO 45.31 Commercio all'ingrosso ed intermediazione di parti e accessori di autoveicoli | fatturato 31.351.833 EUR (2024) | dipendenti da 50 a 99 | 5 km da Seveso | Via Comina, 47 - | GANCIO: Scheda intervento e ricambi: dall'accettazione alla fattura senza riscrivere | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/colzani-spa-01045690151 | telefono: PG «colzani» in seregno → Colzani S.p.a. | Via Comina, 47 - 20831 Seregno (MB)",
S.t.t. Servizi Telematici Telefonici Srl (Seregno),"0362 245540, 0362 26941",Impiantistica e cantieri,Altri lavori di costruzione e installazione nca,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Impiantistica e cantieri | ATECO 43.29.09 Altri lavori di costruzione e installazione nca | fatturato 26.098.690 EUR (2024) | dipendenti da 100 a 199 | 5 km da Seveso | Via N. Sauro, 82 - | GANCIO: Rapportini di cantiere dal telefono: ore, materiali e stato commessa senza ribattitura in ufficio | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/stt-servizi-telematici-telefonici-srl-09088150157 | telefono: PG «servizi telematici telefonici» in seregno → S.T.T. Servizi Telematici e Telefonici S.r.l. | Via Sauro Nazario, 82 - 20831 Seregno (MB)",
Nuova Samia Srl (Seregno),"0362 236813, 0362 236814",Ingrosso e distribuzione,Commercio all'ingrosso non specializzato,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Ingrosso e distribuzione | ATECO 46.9 Commercio all'ingrosso non specializzato | fatturato 20.548.918 EUR (2024) | dipendenti da 20 a 49 | 5 km da Seveso | Via S. Vitale, 102/104 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/nuova-samia-srl-04080950159 | telefono: PG «nuova samia» in seregno → Nuova Samia S.r.l. | Via S. Vitale, 104/BIS - 20831 Seregno (MB)",
Silvio Colombo S.p.a. (Seregno),"0362 23661, 0362 242819, 0362 2366",Ingrosso e distribuzione,Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta),D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Ingrosso e distribuzione | ATECO 46.74.1 Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta) | fatturato 13.144.035 EUR (2024) | dipendenti da 20 a 49 | 5 km da Seveso | Via San Giuseppe, 29 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/silvio-colombo-spa-05862820155 | telefono: PG «silvio colombo» in seregno → Silvio Colombo S.r.l. | Via S. Giuseppe, 29 - 20831 Seregno (MB)",
Eurofix S.r.l. (Seregno),0362 942897,Ingrosso e distribuzione,Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta),D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Ingrosso e distribuzione | ATECO 46.74.1 Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta) | fatturato 10.397.508 EUR (2023) | dipendenti da 20 a 49 | 5 km da Seveso | Via Monti, 28 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/eurofix-srl-03393740968 | telefono: PG «eurofix» in seregno → Eurofix S.r.l. | Via Monti Vincenzo, 28 - 20831 Seregno (MB)",
Mkf Mollificio Srl (Seregno),0362 5277216,Metalmeccanica e officine,Fabbricazione di molle,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 25.93.2 Fabbricazione di molle | fatturato 9.112.407 EUR (2024) | dipendenti da 20 a 49 | 5 km da Seveso | Via Cadore, 204 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/mkf-mollificio-srl-04833670153 | telefono: PG «mkf mollificio» in seregno → Mkf Mollificio S.r.l. | Via Cadore, 204 - 20831 Seregno (MB)",
Metalsinter Srl (Seregno),"0362 231284, 0362 325436",Metalmeccanica e officine,Trattamento e rivestimento dei metalli,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 25.61 Trattamento e rivestimento dei metalli | fatturato 8.068.235 EUR (2024) | dipendenti da 20 a 49 | 5 km da Seveso | Via Messina, 9 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/metalsinter-srl-01369340151 | telefono: PG «metalsinter» in seregno → Metalsinter S.r.l. | Via Messina, 9 - 20831 Seregno (MB)",
Geneco S.r.l. (Seregno),0362 1443673,Impiantistica e cantieri,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione),D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Impiantistica e cantieri | ATECO 43.21.01 Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione) | fatturato 6.019.881 EUR (2024) | dipendenti da 16 a 19 | 5 km da Seveso | Via Messina, 99 - | GANCIO: Rapportini di cantiere dal telefono: ore, materiali e stato commessa senza ribattitura in ufficio | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/geneco-srl-06402250960 | telefono: PG «geneco» in seregno → Geneco S.r.l. | Via Messina, 99 - 20831 Seregno (MB)",
Incartare S.r.l. (Seregno),0362 243145,Ingrosso e distribuzione,"Commercio all'ingrosso di carta, cartone e articoli di cartoleria",D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Ingrosso e distribuzione | ATECO 46.49.1 Commercio all'ingrosso di carta, cartone e articoli di cartoleria | fatturato 5.577.419 EUR (2024) | dipendenti da 20 a 49 | 5 km da Seveso | Via Johann Strauss, 9-11-11A - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/incartare-srl-07112970152 | telefono: PG «incartare» in seregno → Incartare | Via Strauss, 9 - 20831 Seregno (MB)",
Spadeitalia Trattamento Acque S.r.l. (Seregno),0362 241107,Impiantistica e cantieri,"Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione) in edifici o in altre opere di costruzione",D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Impiantistica e cantieri | ATECO 43.22.01 Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione) in edifici o in altre opere di costruzione | fatturato 3.369.160 EUR (2024) | dipendenti da 16 a 19 | 5 km da Seveso | Via Seveso, 3 - | GANCIO: Rapportini di cantiere dal telefono: ore, materiali e stato commessa senza ribattitura in ufficio | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/spadeitalia-trattamento-acque-srl-05500390967 | telefono: PG «spadeitalia trattamento acque» in seregno → Spadeitalia Trattamento Acque S.r.l. | Via Seveso, 3 - 20831 Seregno (MB)",
Herman Koll S.r.l. (Seveso),0362 552204,Ingrosso e distribuzione,Commercio all'ingrosso di prodotti chimici per l'industria,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Ingrosso e distribuzione | ATECO 46.75.02 Commercio all'ingrosso di prodotti chimici per l'industria | fatturato 6.445.287 EUR (2024) | dipendenti da 20 a 49 | 0 km da Seveso | Via Vignone, 8 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/herman-koll-srl-05948880157 | telefono: PG «herman koll» in seveso → Herman Koll S.r.l. | Via Vignone, 8 - 20822 Seveso (MB)",
Fusaro Mario S.r.l. (Seveso),"0362 516728, 0362 545520",Metalmeccanica e officine,"Fabbricazione di oggetti in ferro, in rame ed altri metalli",D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 25.99.3 Fabbricazione di oggetti in ferro, in rame ed altri metalli | fatturato 2.911.957 EUR (2024) | dipendenti da 20 a 49 | 0 km da Seveso | Via Treviso, 13 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/fusaro-mario-srl-04366770966 | telefono: PG «fusaro mario» in seveso → Fusaro Mario S.r.l. | Via Cavalla - 20822 Seveso (MB)",
Gbl S.r.l. (Seveso),0362 650130,Impiantistica e cantieri,Costruzione di edifici residenziali e non residenziali,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Impiantistica e cantieri | ATECO 41.2 Costruzione di edifici residenziali e non residenziali | fatturato 1.073.082 EUR (2024) | dipendenti da 10 a 15 | 0 km da Seveso | Via Delle Robinie, 54 - | GANCIO: Stato avanzamento cantieri e SAL: quanto e' fatto e quanto e' fatturabile, per commessa | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/gbl-srl-05952660966 | telefono: PG «gbl» in seveso → Gbl S.r.l. | Via delle Robinie - 20822 Seveso (MB)",
Dalma Srl (Solaro),02 96799615,Autoriparazione e ricambi,Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Autoriparazione e ricambi | ATECO 45.11.01 Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri | fatturato 56.872.094 EUR (2024) | dipendenti da 20 a 49 | 5 km da Seveso | Via Gaetano Donizetti, 3 - | GANCIO: Scheda intervento e ricambi: dall'accettazione alla fattura senza riscrivere | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/dalma-srl-02201810153 | telefono: PG «dalma» in solaro → Dalma S.r.l. | Via Gaetano Donizetti, 3 - 20033 Solaro (MI)",
Amita Health Care Italia S.r.l. (Solaro),02 96798816,Ingrosso e distribuzione,Commercio all'ingrosso di profumi e cosmetici,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Ingrosso e distribuzione | ATECO 46.45 Commercio all'ingrosso di profumi e cosmetici | fatturato 14.297.126 EUR (2024) | dipendenti da 20 a 49 | 5 km da Seveso | Via Como, 47 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/amita-health-care-italia-srl-12065940152 | telefono: PG «amita health care» in solaro → Amita Health Care Italia S.r.l. | Via Como, 47 - 20020 Solaro (MI)",
Ecomp Srl (Solaro),02 58129517,Metalmeccanica e officine,Fabbricazione di strutture metalliche e di parti di strutture,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 25.11 Fabbricazione di strutture metalliche e di parti di strutture | fatturato 5.592.140 EUR (2024) | dipendenti da 20 a 49 | 5 km da Seveso | Via Galileo Galilei, 2 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/ecomp-srl-10903370152 | telefono: PG «ecomp» in solaro → Ecomp S.r.l. | Via Galilei Galileo, 2 - 20033 Solaro (MI)",
Galimberti Fratelli Srl (Solaro),"02 9690761, 02 9690080",Metalmeccanica e officine,Trattamento e rivestimento dei metalli,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 25.61 Trattamento e rivestimento dei metalli | fatturato 3.536.398 EUR (2024) | dipendenti da 20 a 49 | 5 km da Seveso | Via Marco Polo, 30 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/galimberti-fratelli-srl-00678870155 | telefono: PG «galimberti fratelli» in solaro → Galimberti Fratelli S.r.l. | Via Polo Marco, 30 - 20020 Solaro (MI)",
Autotrasporti F.lli Saldarini Srl (Solaro),02 9690620,Logistica e trasporti,Trasporto di merci su strada,C - DenkiShift (turni) + D - gestionale su misura,"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Logistica e trasporti | ATECO 49.41 Trasporto di merci su strada | fatturato 1.104.528 EUR (2024) | dipendenti da 6 a 9 | 5 km da Seveso | Via Roma, 55 - | GANCIO: Turni autisti e assegnazione mezzi, ore guidate senza il foglio in portineria | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/autotrasporti-flli-saldarini-srl-02492180969 | telefono: PG «autotrasporti lli saldarini» in solaro → Autotrasporti F.lli Saldarini S.r.l. | Via Roma, 55 - 20020 Solaro (MI)",
