comune,km,nome,piva,settore,ateco,attivita,fatturato,anno,personale,dipendenti,indirizzo,prova
Assago,26.5,3DC ALLESTIMENTI S.R.L.,10310890966,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",1018103,2018,72596,2,"Via Idiomi, 4","PG «3dc allestimenti» in assago: 0 risultati, nessuno con nome e comune coincidenti"
Assago,26.5,MODULAR STAGE SRL,09397540965,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",480008,2017,118620,1,"Via Idiomi, 10","PG «modular stage» in assago: 1 risultati, nessuno con nome e comune coincidenti"
Magnago,27.1,TORDE GROUP SRL,03618460129,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",614211,2023,64937,da 10 a 15,"Via Filzi, 62","PG «torde group» in magnago: 1 risultati, nessuno con nome e comune coincidenti"
Peschiera Borromeo,27.2,ALPI SRL,06458350961,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",9992634,2024,1834055,da 20 a 49,"Via Milano, 7","PG «alpi» in peschiera borromeo: 11 risultati, nessuno con nome e comune coincidenti"
Peschiera Borromeo,27.2,SMART SERVICE SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,11951240966,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1900669,2022,1575360,da 50 a 99,"Via Due Giugno, 9/A","PG «smart service» in peschiera borromeo: 9 risultati, nessuno con nome e comune coincidenti"
San Donato Milanese,27.2,PRISMA SOCIETA' COOPERATIVA,09863110962,Facchinaggio,52.24,Movimentazione merci,704819,,,,"Via G. Di Vittorio, 1","PG «prisma» in san donato milanese: 14 risultati, nessuno con nome e comune coincidenti"
San Donato Milanese,27.2,SYNERGIE GROUP SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,10122700965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,428763,2018,438538,1,"Via Triulziana, 40","PG «synergie group» in san donato milanese: 0 risultati, nessuno con nome e comune coincidenti"
Peschiera Borromeo,27.2,GEC SOCIETA' COOPERATIVA,11796780960,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,288845,,,,"Via Einaudi, 4","PG «gec» in peschiera borromeo: 4 risultati, nessuno con nome e comune coincidenti"
Melzo,27.5,CONSORZIO TECHNOBUILD & SERVICE,03885530166,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,6222780,2024,174805,da 3 a 5,"Via Bruno Buozzi, 22","PG «consorzio technobuild service» in melzo: 1 risultati, nessuno con nome e comune coincidenti"
Melzo,27.5,AMB MULTISERVIZI S.R.L.,11083740966,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1602059,2024,1455500,da 20 a 49,"Via Cristoforo Colombo, 8/B","PG «amb multiservizi» in melzo: 7 risultati, nessuno con nome e comune coincidenti"
Melzo,27.5,QUICK LOGISTICS SOCIETA' COOPERATIVA,10993010965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1142526,,,,"Via Cristoforo Colombo, 6","PG «quick logistics» in melzo: 9 risultati, nessuno con nome e comune coincidenti"
Melzo,27.5,AMB SERVIZI SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,11083960960,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1071909,2021,1239808,nessuno,"Via Cristoforo Colombo, 8/B","PG «amb servizi» in melzo: 1 risultati, nessuno con nome e comune coincidenti"
Gaggiano,27.5,MOY STAND SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,09915580964,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",547073,2022,61749,da 6 a 9,"Via Europa, 22","PG «moy stand» in gaggiano: 25 risultati, nessuno con nome e comune coincidenti"
Melzo,27.5,DUECCI SERVICE SOC. COOP. A R.L.,11266130969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,271223,,,,"Via C. Colombo, 8/B","PG «duecci service» in melzo: 0 risultati, nessuno con nome e comune coincidenti"
Liscate,27.8,CREMA SERVIZI S.R.L.S.,12633940965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,556927,2023,481634,da 20 a 49,"Via Bruno Buozzi, 23","PG «crema servizi» in liscate: 25 risultati, nessuno con nome e comune coincidenti"
Magenta,28.0,RENTAL TIME S.R.L.,07687060967,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",910949,2024,193683,da 6 a 9,"Via Fratelli Bandiera, 26","PG «rental time» in magenta: 1 risultati, nessuno con nome e comune coincidenti"
Cardano Al Campo,28.4,LEADER SOUND SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,03862910126,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",715994,2024,,,"Via Palmiro Togliatti, 3","PG «leader sound» in cardano al campo: 1 risultati, nessuno con nome e comune coincidenti"
Settala,28.8,PRO 10 SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,13308620965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,410730,2024,634240,da 20 a 49,"Via Trieste, 6","PG «pro 10» in settala: 3 risultati, nessuno con nome e comune coincidenti"
Calolziocorte,28.9,AUTOTRASPORTI POZZONI ENRICO & C. S.R.L.,02586760130,Facchinaggio,52.24,Movimentazione merci,901533,2024,368433,da 10 a 15,"Via Galli, 10","PG «autotrasporti pozzoni enrico ec» in calolziocorte: 25 risultati, nessuno con nome e comune coincidenti"
Rozzano,29.0,ARCA STRUTTURE SRL,09898790150,Allestimento,90.02.01,Noleggio con operatore di strutture ed attrezzature per manifestazioni e spettacoli,3672266,2024,678587,da 10 a 15,"Via Po, 35","PG «arca strutture» in rozzano: 2 risultati, nessuno con nome e comune coincidenti"
Rozzano,29.0,UGR  COOPERATIVA SOCIALE A R.L.,06736970960,Facchinaggio,52.24,Movimentazione merci,879689,,,,"Via Monviso, 68","PG «ugr» in rozzano: 4 risultati, nessuno con nome e comune coincidenti"
San Giuliano Milanese,29.9,ACM SOCIETA' COOPERATIVA,08656650960,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,409418,,,,"Via Del Tecchione, 24/B","PG «acm» in san giuliano milanese: 14 risultati, nessuno con nome e comune coincidenti"
