Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
Dematek Engineering S.r.l. In Liquidazione (Giussano),0362 335809,Metalmeccanica e officine,Fabbricazione di strutture metalliche e di parti di strutture,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.11 Fabbricazione di strutture metalliche e di parti di strutture | fatturato 2.064.396 EUR (2023) | dipendenti da 6 a 9 | 7.5 km da Seveso | Via Monte Bianco, 27/29 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/dematek-engineering-srl-in-liquidazione-09602100969 | telefono: PG «dematek engineering» in giussano → Dematek Engineering S.r.l. | Via Monte Bianco, 27 - 20833 Giussano (MB)",
Meccanica Medese Srl (Giussano),0362 70877,Metalmeccanica e officine,Fabbricazione di utensileria ad azionamento manuale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.73.11 Fabbricazione di utensileria ad azionamento manuale | fatturato 1.436.292 EUR (2022) | dipendenti da 10 a 15 | 7.5 km da Seveso | Via Monte Grappa, 66/68 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/meccanica-medese-societa-a-responsabilita-limitata-01456110152 | telefono: PG «meccanica medese» in giussano → Meccanica Medese S.r.l. | Via Monte Grappa, 66 - 20833 Giussano (MB)",
Impresa D'aprile Srl (Giussano),"0362 285827, 0362 311133",Impiantistica e cantieri,Costruzione di edifici residenziali e non residenziali,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Impiantistica e cantieri | ATECO 41.2 Costruzione di edifici residenziali e non residenziali | fatturato 1.071.363 EUR (2024) | dipendenti da 6 a 9 | 7.5 km da Seveso | Via Alfieri, 39 - | GANCIO: Stato avanzamento cantieri e SAL: quanto e' fatto e quanto e' fatturabile, per commessa | fonte companyreports.it/impresa-d-aprile-srl-04118210154 | telefono: PG «impresa aprile» in giussano → Impresa D'Aprile S.r.l. | Via Alfieri Vittorio, 98 - 20833 Giussano (MB)",
Cireco Mpa Srl (Lazzate),02 96320562,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di altri articoli in materie plastiche nca,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 22.29.09 Fabbricazione di altri articoli in materie plastiche nca | fatturato 5.567.528 EUR (2023) | dipendenti da 6 a 9 | 5 km da Seveso | Via I Maggio, 34 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/cireco-mpa-srl-02776530129 | telefono: PG «cireco mpa» in lazzate → Cireco Mpa | Via I Maggio, 34 - 20824 Lazzate (MB)",
Three Es S.r.l. (Lazzate),02 96328225,Ingrosso e distribuzione,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.69.99 Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca | fatturato 4.408.511 EUR (2024) | dipendenti da 6 a 9 | 5 km da Seveso | Via Liberta', 105 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/three-es-srl-03034670962 | telefono: PG «three» in lazzate → Three Es S.r.l. | Via Liberta', 105 - 20824 Lazzate (MB)",
Artigrafiche Pagani Srl (Lazzate),"02 96320209, 02 96329646, 02 96720288, 02 96729228","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Altra stampa,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 18.12 Altra stampa | fatturato 4.148.981 EUR (2024) | dipendenti da 10 a 15 | 5 km da Seveso | Via Degli Artigiani, 8/10 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/artigrafiche-pagani-srl-02350300964 | telefono: PG «artigrafiche pagani» in lazzate → Artigrafiche Pagani S.r.l. | Via degli Artigiani, 8 - 20824 Lazzate (MB)",
Car 3 Srl (Lazzate),02 96320995,Metalmeccanica e officine,Riparazione e manutenzione di macchine e apparecchi di sollevamento e movimentazione (esclusi ascensori),D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 33.12.3 Riparazione e manutenzione di macchine e apparecchi di sollevamento e movimentazione (esclusi ascensori) | fatturato 1.122.939 EUR (2024) | dipendenti da 6 a 9 | 5 km da Seveso | Via San Lorenzo, 141 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/car-3-srl-03228820134 | telefono: PG «car» in lazzate → Car 3 S.r.l. | Via San Lorenzo, 141 - 20824 Lazzate (MB)",
Fratelli Boffi Srl (Lentate sul Seveso),"0362 564304, 0362 564305","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di mobili per arredo domestico,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.1 Fabbricazione di mobili per arredo domestico | fatturato 5.646.195 EUR (2024) | dipendenti da 20 a 49 | 4 km da Seveso | Viale Industria, 0005 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/fratelli-boffi-srl-00682660154 | telefono: PG «fratelli boffi» in lentate sul seveso → Fratelli Boffi S.r.l. | Viale Industria, 5 - 20823 Lentate sul Seveso (MB)",
Lem Compounding Research Ita S.r.l. (Lentate sul Seveso),"0362 542628, 0362 687041","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di profumi e cosmetici,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 20.42 Fabbricazione di profumi e cosmetici | fatturato 4.954.212 EUR (2024) | dipendenti da 20 a 49 | 4 km da Seveso | Via Oberdan, 68 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/lem-compounding-research-ita-srl-03370990123 | telefono: PG «lem compounding research ita» in lentate sul seveso → Lem Compounding Research Ita S.r.l. | Via Oberdan Guglielmo, 68 - 20823 Lentate sul Seveso (",
Mobiltre Arredamenti S.r.l. (Lentate sul Seveso),"0362 542454, 0362 564465, 0362 572319","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di parti e accessori di mobili,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.4 Fabbricazione di parti e accessori di mobili | fatturato 4.573.752 EUR (2024) | dipendenti da 10 a 15 | 4 km da Seveso | Via Padova, 0016 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/mobiltre-arredamenti-srl-06443960155 | telefono: PG «mobiltre arredamenti» in lentate sul seveso → Mobiltre Arredamenti S.r.l. | Via Padova, 16/18 - 20823 Lentate sul Seveso (MB)",
Vezzaro Augusto Guarnizioni Srl (Lentate sul Seveso),"0362 542633, 0362 563243, 0362 557311",Metalmeccanica e officine,Fabbricazione di altri articoli metallici e minuteria metallica nca,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.99.99 Fabbricazione di altri articoli metallici e minuteria metallica nca | fatturato 3.589.372 EUR (2024) | dipendenti da 10 a 15 | 4 km da Seveso | Via Montebello, 0030 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/vezzaro-augusto-guarnizioni-srl-00487900151 | telefono: PG «vezzaro augusto guarnizioni» in lentate sul seveso → Vezzaro Augusto Guarnizioni di Vezzaro & C. S.a.s. | Viale Brianza, 34/C - 20823 Lentate sul ",
Mariflex Due Srl (Lentate sul Seveso),0362 569456,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di altri articoli in materie plastiche nca,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 22.29.09 Fabbricazione di altri articoli in materie plastiche nca | fatturato 3.135.008 EUR (2024) | dipendenti da 16 a 19 | 4 km da Seveso | Via Luigi Galvani, 28 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/mariflex-due-srl-02252730961 | telefono: PG «mariflex due» in lentate sul seveso → Mariflex Due S.r.l. | Via Galvani Luigi, 28 - 20823 Lentate sul Seveso (MB)",
Radice Vernici S.r.l. (Lentate sul Seveso),0362 560276,Ingrosso e distribuzione,Commercio all'ingrosso di carta da parati  colori e vernici,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.73.4 Commercio all'ingrosso di carta da parati  colori e vernici | fatturato 3.057.794 EUR (2024) | dipendenti da 10 a 15 | 4 km da Seveso | Via Natta, 11 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/radice-vernici-srl-05232630961 | telefono: PG «radice vernici» in lentate sul seveso → Radice Vernici | Via Privata Giulio Natta, 11 - 20823 Lentate sul Seveso (MB)",
Ecoplast Srl (Lentate sul Seveso),0362 556130,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di articoli in materie plastiche,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 22.2 Fabbricazione di articoli in materie plastiche | fatturato 1.737.097 EUR (2024) | dipendenti da 10 a 15 | 4 km da Seveso | Viale Brianza, 26 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/ecoplast-srl-07552500154 | telefono: PG «ecoplast» in lentate sul seveso → Ecoplast S.r.l. | Via XXIV Maggio, 55 - 20823 Lentate sul Seveso (MB)",
Uni Cuoio Srl (Lentate sul Seveso),0362 565253,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di poltrone e divani,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.3 Fabbricazione di poltrone e divani | fatturato 1.506.674 EUR (2024) | dipendenti da 10 a 15 | 4 km da Seveso | Viale Brianza, 32 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/uni-cuoio-srl-09556950153 | telefono: PG «uni cuoio» in lentate sul seveso → Uni Cuoio S.r.l. | Viale Brianza, 32 - 20823 Lentate sul Seveso (MB)",
Degani Aldo S.r.l. (Lentate sul Seveso),"0362 542404, 0362 681133",Metalmeccanica e officine,Fabbricazione di strutture metalliche e di parti di strutture,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.11 Fabbricazione di strutture metalliche e di parti di strutture | fatturato 1.272.370 EUR (2024) | dipendenti da 6 a 9 | 4 km da Seveso | Via Privata G. Natta, 23 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/degani-aldo-srl-07075990965 | telefono: PG «degani aldo» in lentate sul seveso → Degani Aldo S.r.l. | Via Privata Natta Giulio, 23 - 20823 Lentate sul Seveso (MB)",
Bazzi Fratelli Di Bazzi Giancarlo E C. Srl (Lentate sul Seveso),"0362 560844, 0362 561558","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di mobili per arredo domestico,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.1 Fabbricazione di mobili per arredo domestico | fatturato 1.219.687 EUR (2024) | dipendenti da 16 a 19 | 4 km da Seveso | Viale Italia, 0057 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/bazzi-fratelli-di-bazzi-giancarlo-e-c-srl-01166650158 | telefono: PG «bazzi fratelli bazzi giancarlo» in lentate sul seveso → Bazzi Fratelli di Bazzi Giancarlo e C. S.r.l. | Viale Italia, 57 - 20823 Lentate sul Seves",
Liner Italia International Spa (Limbiate),"02 99051632, 02 99488332, 02 99502340","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di carta e cartone,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 17.12 Fabbricazione di carta e cartone | fatturato 56.379.344 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via Otto Marzo, 193 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/liner-italia-international-spa-02698220965 | telefono: PG «liner international» in limbiate → Liner Italia International S.p.a. | Via Gorki Massimo, 2 - 20812 Limbiate (MB)",
Pastificio Cerati Srl (Limbiate),02 9961891,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)","Produzione di paste alimentari, di cuscus e di prodotti farinacei simili",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 10.73 Produzione di paste alimentari, di cuscus e di prodotti farinacei simili | fatturato 14.131.584 EUR (2024) | dipendenti da 10 a 15 | 6 km da Seveso | Via Isonzo, 3 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/pastificio-cerati-srl-02487700961 | telefono: PG «pastificio cerati» in limbiate → Pastificio Cerati S.r.l. | Via Isonzo, 3 - 20812 Limbiate (MB)",
Avicel S.r.l. (Limbiate),"02 25565293, 02 9969016, 02 9969087, 02 9963259, 02 99769670","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di componenti elettronici,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 26.11 Fabbricazione di componenti elettronici | fatturato 9.416.454 EUR (2024) | dipendenti da 50 a 99 | 6 km da Seveso | Via Monte Rosa, 27 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/avicel-srl-09494210157 | telefono: PG «avicel» in limbiate → Avicel S.r.l. | Via Monte Rosa, 27 - 20812 Limbiate (MB)",
Sila Ferro S.r.l. (Limbiate),02 99485678,Metalmeccanica e officine,Fabbricazione di strutture metalliche e di parti di strutture,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.11 Fabbricazione di strutture metalliche e di parti di strutture | fatturato 8.384.845 EUR (2024) | dipendenti da 6 a 9 | 6 km da Seveso | Viale Dei Mille, 60 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/sila-ferro-srl-05940250961 | telefono: PG «sila ferro» in limbiate → Sila Ferro S.r.l. | Via Marconi Guglielmo, 15 - 20812 Limbiate (MB)",
Omma S.r.l. (Limbiate),02 9962821,Metalmeccanica e officine,Fabbricazione di macchine per la formatura dei metalli e di altre macchine utensili,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.4 Fabbricazione di macchine per la formatura dei metalli e di altre macchine utensili | fatturato 5.436.396 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via Dell'artigianato, 13/11 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/omma-srl-09358800150 | telefono: PG «omma» in limbiate → Omma S.r.l. | Via Dell' Artigianato, 13/11 - 20812 Limbiate (MB)",
Arcari Srl (Limbiate),"02 99052715, 02 99057804","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di altri articoli tessili tecnici ed industriali,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 13.96.2 Fabbricazione di altri articoli tessili tecnici ed industriali | fatturato 5.395.808 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via Corinna Bruni, 14 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/arcari-srl-02308210968 | telefono: PG «arcari» in limbiate → Arcari S.r.l. | Via Bruni Corinna, 14 - 20812 Limbiate (MB)",
D.i.m. - Detergenti Industriali Milano - S.r.l. (Limbiate),02 99482797,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)","Fabbricazione di saponi, detergenti e di agenti organici tensioattivi (esclusi i prodotti per toletta)",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 20.41.1 Fabbricazione di saponi, detergenti e di agenti organici tensioattivi (esclusi i prodotti per toletta) | fatturato 3.905.850 EUR (2024) | dipendenti da 6 a 9 | 6 km da Seveso | Via Marconi, 15 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/dim-detergenti-industriali-milano-srl-03850870969 | telefono: PG «detergenti industriali milano» in limbiate → D.I.M. Detergenti Industriali Milano S.r.l. | Via Marconi Guglielmo, 15 - 20812 Limbiate (MB)",
Tecnoplast Italy S.r.l. (Limbiate),02 9961894,Metalmeccanica e officine,Fabbricazione di altre macchine di impiego generale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.2 Fabbricazione di altre macchine di impiego generale | fatturato 2.372.410 EUR (2023) | dipendenti da 10 a 15 | 6 km da Seveso | Via Luciano Manara, 13 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/tecnoplast-italy-srl-07611270963 | telefono: PG «tecnoplast» in limbiate → Tecnoplast S.r.l. | Via Manara Luciano, 13 - 20812 Limbiate (MB)",
Diamond Drills Srl (Limbiate),"02 9962935, 02 99692001","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Produzione di prodotti abrasivi,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 23.91 Produzione di prodotti abrasivi | fatturato 2.164.890 EUR (2024) | dipendenti da 10 a 15 | 6 km da Seveso | Via Monte Rosa, 27 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/diamond-drills-srl-08153260156 | telefono: PG «diamond drills» in limbiate → Diamond Drills | Via Monte Rosa, 27 - 20812 Limbiate (MB)",
Vimi S.r.l. (Limbiate),"02 9960087, 02 9963383",Metalmeccanica e officine,Fabbricazione di altri articoli metallici e minuteria metallica nca,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.99.99 Fabbricazione di altri articoli metallici e minuteria metallica nca | fatturato 2.128.315 EUR (2024) | dipendenti da 6 a 9 | 6 km da Seveso | Via Istria, 14 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/vimi-srl-06379910968 | telefono: PG «vimi» in limbiate → Vimi S.r.l. | Via Istria, 14 - 20812 Limbiate (MB)",
L.c.a. Laboratori Di Chimica Applicata S.r.l. (Limbiate),02 99051262,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di profumi e cosmetici,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 20.42 Fabbricazione di profumi e cosmetici | fatturato 2.043.677 EUR (2024) | dipendenti da 6 a 9 | 6 km da Seveso | Via Guglielmo Marconi, 25 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/lca-laboratori-di-chimica-applicata-srl-11384920960 | telefono: PG «laboratori chimica applicata» in limbiate → L.C.A. Laboratori di Chimica Applicata S.r.l. | Via Marconi Guglielmo, 25 - 20812 Limbiate (MB)",
Effecitre S.r.l. (Limbiate),02 9965950,Metalmeccanica e officine,Lavori di meccanica generale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.62 Lavori di meccanica generale | fatturato 1.267.483 EUR (2024) | dipendenti da 10 a 15 | 6 km da Seveso | Via Monte Rosa, 27 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/effecitre-srl-02856460965 | telefono: PG «effecitre» in limbiate → Effecitre S.r.l. | Via Monte Rosa, 27 - 20812 Limbiate (MB)",
Nuova Tekno 2000 S.r.l. (Limbiate),"02 9967741, 02 99683132",Metalmeccanica e officine,Lavori di meccanica generale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.62 Lavori di meccanica generale | fatturato 1.049.067 EUR (2024) | dipendenti da 10 a 15 | 6 km da Seveso | Via Monte Rosa, 27 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/nuova-tekno-2000-srl-05722720967 | telefono: PG «nuova tekno 2000» in limbiate → Nuova Tekno 2000 S.r.l. | Via Monte Rosa, 27 - 20812 Limbiate (MB)",
Vefer Spa (Lissone),"039 484821, 039 484607","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di gomma sintetica in forme primarie,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 20.17 Fabbricazione di gomma sintetica in forme primarie | fatturato 59.810.440 EUR (2024) | dipendenti da 100 a 199 | 8 km da Seveso | Viale Martiri Della Liberta', 0102 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/vefer-spa-00818570152 | telefono: PG «vefer» in lissone → Vefer S.p.a. | Viale Martiri della Liberta', 102 - 20851 Lissone (MB)",
Egimotors S.r.l. (Lissone),039 6363161,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di motocicli,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 30.91.12 Fabbricazione di motocicli | fatturato 32.498.053 EUR (2024) | dipendenti da 20 a 49 | 8 km da Seveso | Via Santa Margherita, 62 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/egimotors-srl-03521450969 | telefono: PG «egimotors» in lissone → Egimotors S.r.l. | Via Santa Margherita, 56 - 20851 Lissone (MB)",
Ecogenia S.r.l. (Lissone),"039 2454428, 039 5963500","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di elettrodomestici,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 27.51 Fabbricazione di elettrodomestici | fatturato 21.855.662 EUR (2024) | dipendenti da 50 a 99 | 8 km da Seveso | Via Carducci, 101/D - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/ecogenia-srl-06556200969 | telefono: PG «ecogenia» in lissone → Ecogenia S.r.l. | Via Matteotti Giacomo, 8 - 20851 Lissone (MB)",
Elcam Srl (Lissone),039 2753569,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)","Confezionamento di biancheria da letto, da tavola e per l'arredamento",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 13.92.1 Confezionamento di biancheria da letto, da tavola e per l'arredamento | fatturato 17.935.665 EUR (2024) | dipendenti da 50 a 99 | 8 km da Seveso | Via Delle Industrie, 34 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/elcam-srl-01378980153 | telefono: PG «elcam» in lissone → Elcam - S.r.l. | Via Dell' Industria - 20851 Lissone (MB)",
Birel Art Srl (Lissone),039 483440,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di autoveicoli,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 29.1 Fabbricazione di autoveicoli | fatturato 15.364.668 EUR (2024) | dipendenti da 50 a 99 | 8 km da Seveso | Via San Michele Del Carso, 40 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/birel-art-srl-01531960191 | telefono: PG «birel art» in lissone → Birel Art S.r.l. | Via S. Michele del Carso, 40 - 20851 Lissone (MB)",
Nord Compensati Srl (Lissone),"039 243131, 039 24313228","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 16.21 Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno | fatturato 12.935.725 EUR (2024) | dipendenti da 20 a 49 | 8 km da Seveso | Via Torricelli, 44 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/nord-compensati-srl-01701180158 | telefono: PG «nord compensati» in lissone → Nord Compensati S.p.a. | Via Torricelli Evangelista, 44 - 20851 Lissone (MB)",
